Area_Name,Year,Group_Name,Sub_Group_Name,PH_Houses_Provided_by_Department,PH_Houses_provided_on_LeaseRentGPRA,PH_Sanctioned_Strength
Rajasthan,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1836,NULL,9800
Sikkim,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,364
Tamil Nadu,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3369,NULL,10286
Tripura,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,NULL,1855
Uttar Pradesh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6775,1375,14614
Uttarakhand,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),538,NULL,774
West Bengal,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4471,237,21779
Andaman & Nicobar Islands,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),42,NULL,428
Andhra Pradesh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2763,3153,8744
Arunachal Pradesh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),302,347,649
Assam,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),71,0,6008
Bihar,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2318,9963,12281
Chandigarh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,0,487
Chhattisgarh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),476,442,4363
Dadra & Nagar Haveli,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,18,17
Daman & Diu,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6,NULL,22
Delhi,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6546,NULL,10798
Goa,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),138,2,350
Gujarat,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5380,371,13430
Haryana,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),520,2902,5496
Himachal Pradesh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),256,0,1592
Jammu & Kashmir,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,0,6406
Jharkhand,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),634,1080,2923
Karnataka,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2725,709,5991
Kerala,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),419,0,4237
Lakshadweep,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),34,3,53
Madhya Pradesh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1979,1175,9041
Maharashtra,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5304,NULL,26573
Manipur,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),65,2,1555
Meghalaya,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),868,294,1162
Mizoram,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),780,1,1271
Nagaland,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),226,92,640
Odisha,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1756,0,6793
Puducherry,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),87,NULL,315
Punjab,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1627,NULL,7197
Rajasthan,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1900,NULL,9802
Sikkim,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,427
Tamil Nadu,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3391,NULL,10326
Tripura,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,NULL,1957
Uttar Pradesh,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6775,1375,14614
Uttarakhand,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),538,NULL,1073
West Bengal,2006,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4471,227,21966
Andaman & Nicobar Islands,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),52,NULL,432
Andhra Pradesh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2784,6280,9064
Arunachal Pradesh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),649,0,649
Assam,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),79,0,6008
Bihar,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2353,12658,15011
Chandigarh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),339,0,487
Chhattisgarh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),52,325,4302
Dadra & Nagar Haveli,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,18,17
Daman & Diu,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6,NULL,22
Delhi,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),9405,NULL,11900
Goa,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),247,1,453
Gujarat,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5871,373,13619
Haryana,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),602,3113,5803
Himachal Pradesh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),256,0,1871
Jammu & Kashmir,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),651,0,6480
Jharkhand,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),881,369,5772
Karnataka,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2620,551,6050
Kerala,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),593,4,4362
Lakshadweep,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),40,NULL,53
Madhya Pradesh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1978,1175,9102
Maharashtra,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5319,NULL,30206
Manipur,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),65,2,1804
Meghalaya,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),868,340,1208
Mizoram,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),172,60,1328
Nagaland,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),170,92,648
Odisha,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1756,0,7226
Puducherry,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),87,NULL,315
Punjab,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1627,NULL,7197
Rajasthan,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1900,NULL,9897
Sikkim,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,447
Tamil Nadu,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3517,NULL,10603
Tripura,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,0,1997
Uttar Pradesh,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),7275,1375,15490
Uttarakhand,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),541,NULL,1072
West Bengal,2007,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3243,0,27227
Andaman & Nicobar Islands,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),58,NULL,432
Andhra Pradesh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2796,6688,9484
Arunachal Pradesh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),649,0,742
Assam,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),87,0,6008
Bihar,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2378,12980,15358
Chandigarh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),339,0,487
Chhattisgarh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),338,431,4655
Dadra & Nagar Haveli,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,17,17
Daman & Diu,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6,NULL,22
Delhi,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),9486,NULL,12553
Goa,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),273,1,501
Gujarat,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6276,869,12860
Haryana,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),682,4094,6900
Himachal Pradesh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),284,0,2000
Jammu & Kashmir,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),651,0,7440
Jharkhand,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),837,176,6842
Karnataka,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3085,391,8049
Kerala,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),763,82,4100
Lakshadweep,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),40,NULL,85
Madhya Pradesh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2676,NULL,9101
Maharashtra,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5315,0,30780
Manipur,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),65,2,2256
Meghalaya,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),486,565,1213
Mizoram,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),174,0,1382
Nagaland,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),205,74,662
Odisha,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1858,0,9244
Puducherry,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),87,NULL,315
Punjab,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1609,NULL,7335
Rajasthan,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1900,NULL,10011
Sikkim,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,478
Tamil Nadu,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3608,0,10712
Tripura,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,NULL,2099
Uttar Pradesh,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),7275,1375,15656
Uttarakhand,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),597,NULL,1127
West Bengal,2008,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4862,191,26437
Andaman & Nicobar Islands,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),52,NULL,557
Andhra Pradesh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2799,11829,14628
Arunachal Pradesh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),688,54,742
Assam,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),87,0,6008
Bihar,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2534,13207,15741
Chandigarh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),340,0,677
Chhattisgarh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),46,0,4649
Dadra & Nagar Haveli,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,15,16
Daman & Diu,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6,NULL,22
Delhi,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),9503,NULL,13407
Goa,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),273,1,501
Gujarat,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5415,652,13032
Haryana,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1072,4124,7151
Himachal Pradesh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,0,2051
Jammu & Kashmir,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),954,0,8338
Jharkhand,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1069,869,6020
Karnataka,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3129,748,8552
Kerala,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),765,82,4176
Lakshadweep,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),50,NULL,85
Madhya Pradesh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,NULL,9101
Maharashtra,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5593,NULL,32348
Manipur,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),82,2,2992
Meghalaya,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,828,1215
Mizoram,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),174,NULL,1460
Nagaland,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),174,77,662
Odisha,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1858,0,9294
Puducherry,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),92,NULL,319
Punjab,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),48,NULL,7335
Rajasthan,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1900,NULL,10090
Sikkim,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,481
Tamil Nadu,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3639,0,11017
Tripura,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,NULL,2099
Uttar Pradesh,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),7275,2654,20642
Uttarakhand,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),301,NULL,1152
West Bengal,2009,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5055,193,27347
Andaman & Nicobar Islands,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),62,NULL,632
Andhra Pradesh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2799,13646,16445
Arunachal Pradesh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),713,91,804
Assam,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),91,NULL,6008
Bihar,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2503,12931,15434
Chandigarh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),340,0,677
Chhattisgarh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),389,0,4649
Dadra & Nagar Haveli,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),16,16,27
Daman & Diu,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6,NULL,22
Delhi,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),10018,NULL,13407
Goa,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),99,1,524
Gujarat,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5118,547,13811
Haryana,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1192,1271,7124
Himachal Pradesh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),388,0,2051
Jammu & Kashmir,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),954,104,7901
Jharkhand,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),544,869,8386
Karnataka,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3119,738,8872
Kerala,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1153,82,4226
Lakshadweep,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),50,NULL,85
Madhya Pradesh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3092,1080,11135
Maharashtra,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5593,0,33599
Manipur,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),78,37,3271
Meghalaya,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,676,1163
Mizoram,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),174,NULL,1412
Nagaland,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),180,80,662
Odisha,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1924,0,9419
Puducherry,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),92,NULL,404
Punjab,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),48,NULL,8549
Rajasthan,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1900,NULL,10174
Sikkim,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,499
Tamil Nadu,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),373,0,12039
Tripura,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),326,NULL,2128
Uttar Pradesh,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5342,2654,21971
Uttarakhand,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),596,NULL,1152
West Bengal,2010,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5787,186,27806
Andaman & Nicobar Islands,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),595,NULL,2544
Andhra Pradesh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),23751,32220,74110
Arunachal Pradesh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1947,2894,4841
Assam,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),0,0,49408
Bihar,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3425,40830,44255
Chandigarh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1625,0,3699
Chhattisgarh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2808,3114,11767
Dadra & Nagar Haveli,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),NULL,200,218
Delhi,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6053,NULL,45777
Goa,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1612,NULL,3463
Gujarat,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),28511,3160,53336
Haryana,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4209,17122,35246
Himachal Pradesh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),791,17,12335
Jammu & Kashmir,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3292,0,52686
Karnataka,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),22495,4348,51162
Kerala,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),7394,93,41059
Lakshadweep,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),172,NULL,293
Madhya Pradesh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),33383,NULL,82561
Maharashtra,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),0,77919,124222
Manipur,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),143,NULL,13259
Meghalaya,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1928,10995,12923
Mizoram,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1480,84,6708
